unit_id,sair_number,sair_letter,sair_title,unit_order,unit_type,text_arabic,transliteration_latin,translation_indonesian,text_gorontalo,doc_pages,pdf_pages
sair_01_unit_11,1,a,Sair Pertama,11,jabu_refrein,مُسَلَّبُ الْعَقْلِ سِوَى سِحْرِ جُفُوْنِهِ مُسَلَّبُ الْعَقْلِ,Musallabul ’aqli siwasihira jūfuni musallabul ’aqli. (Jābu),Sinar keindahan di pelupuk matanya tidak dapat dijangkau oleh akal fikiran.,,28-37,31-40
sair_01_unit_12,1,a,Sair Pertama,12,puisi_sair,"السَّلَامُ عَلَيْكَ يَا ضَوْءَ الْبَصَائِرِ * السَّلَامُ عَلَيْكَ يَا عَالِيَ الْمَفَاخِرِ
السَّلَامُ عَلَيْكَ يَا بَحْرَ الذَّخَائِرِ * السَّلَامُ عَلَيْكَ يَا رَوْضَ النَّضَائِرِ","assalāmu 'alaikayāḍau'al baṣāir; assalāmu 'alaika yā 'ālil-mafākhir.
assalāmu 'alaika yā bahraz-zakhāir; assalāmu 'alaika yā rauḍan-naḍāir.","Selamat buatmu, wahai cahaya pandangan batin manusia; Selamat buatmu, wahai yang tinggi kemegahannya; Selamat buatmu, wahai samudra kebajikan yang berlimpah; Selamat buatmu, wahai taman yang elok berseri.",,28-37,31-40
sair_01_unit_13,1,a,Sair Pertama,13,puisi_sair,"صَلَّى اللهُ عَلَيْهِ * السَّلَامُ عَلَى الْمُقَدَّمِ لِلْإِمَامَةِ * السَّلَامُ عَلَى الْمُشَفَّعِ فِي الْقِيَامَةِ
السَّلَامُ عَلَى الْمُظَلَّلِ فِي الْغَمَامَةِ * السَّلَامُ عَلَى الْمُتَوَّجِ بِالْكَرَامَةِ","assalāmu 'alal-muqaddam lil-imāmah; assalāmu 'alal-musyaffa'i fil-qiyāmah.
assalāmu 'alal-muẓallali fil-gamāmah; assalāmu 'alal-mutawwaj bil-karāmah.",Selamat bagi pemimpin terdepan bagi para imam; Selamat bagi pemilik syafaat di hari kiamat; Selamat bagi sosok yang dinaungi awan teduh; Selamat bagi pemilik mahkota kemuliaan.,,28-37,31-40
sair_01_unit_14,1,a,Sair Pertama,14,jabu_refrein,إِلٰهِيْ يَا إِلٰهِيْ (٢×) إِلٰهِيْ تَوْبَةً قَبْلَ الْمَمَاتِ,Ilāhī yā ilāhī 2x ilāhī taubatan qablal-mamāt. (Jābu),"Tuhanku, ya Tuhanku (2x), hamba memohon tobat sebelum datangnya maut.",,28-37,31-40
sair_01_unit_15,1,a,Sair Pertama,15,puisi_sair,"السَّلَامُ عَلَى الْخُلَاصَةِ مِنْ تِهَامَةْ * السَّلَامُ عَلَى الْمُبَشِّرِ بِالسَّلَامَةْ
السَّلَامُ عَلَى مُحَمَّدٍ الرَّسُوْلِ * السَّلَامُ عَلَى النَّبِيِّ أَبِي الْبَتُوْلِ
السَّلَامُ عَلَيْكَ يَا وَجْهَ الْجَمِيْلِ * السَّلَامُ عَلَى الْخَلِيْفَةِ مِنْكَ وَفِيْنَا","assalāmu 'alal-khulāṣati min tihāmah; assalāmu 'alal-mubasysyir bis-salāmah;
assalāmu 'alā muhammadinir-rasul; assalāmu 'alan-nabiyyi abil-batuli;
assalāmu 'alaika yā wajhal-jamīl; assalāmu 'alal-khalīfati minka wa fīnā;","Selamat bagi pilihan terbaik dari tanah Tihāmah; Selamat bagi pembawa kabar gembira keselamatan; Selamat bagi Muhammad sebagai utusan Allah; Selamat bagi Nabi mulia, ayahanda Siti Fatimah az-Zahra; Selamat bagimu wahai pemilik wajah rupawan; Selamat bagi penerus amanahmu di tengah kami.",,28-37,31-40
sair_01_unit_16,1,a,Sair Pertama,16,puisi_sair,"رَضِيَ اللهُ عَنْ أَبِي بَكْرٍ مُبِيْدِ الْجَاهِدِيْنَ * وَكَذَا عُمَرَ وَلِيِّ الصَّالِحِيْنَ
وَذِي النُّوْرَيْنِ رَأْسِ النَّاسِكِيْنَ * وَكَذَاكَ عَلِيٍّ السَّامِي يَقِيْنْ
وَالسَّلَامُ عَلَى أَصْحَابِكَ أَجْمَعِيْنَ * وَآلِكَ كُلِّهِمْ وَالتَّابِعِيْنَ
الصَّلَاةُ عَلَى النَّبِيِّ وَالسَّلَامُ عَلَى الرَّسُوْلِ الشَّفِيْعِ الْأَبْطَحِيِّ وَمُحَمَّدٍ عَرَبِيّْ","abībakrin mubīdil-jāhidīn; wa każā'umar waliyyuṣ-ṣālihīn;
wa żin-nūraini ra'sin-nāsikīn; wa każāka 'aliyyu assāmī yaqīn;
assalāmu 'alā aṣhābika ajma'īn; wa ālika kullihim wat-tābi'īn; wa tābi'ihim wa tābi'it-tābi'īn;
aṣṣalātu 'alan-nabiyyi; was-salāmu 'alar-rasūl; asysyafī'il-abṭahiyyi; wa muhammad 'arabiyy.","Semoga Allah meridhai Abu Bakar penakluk para pembangkang; dan juga Umar pemimpin kaum saleh; dan Usman pemilik dua cahaya pemimpin ahli ibadah; serta Ali yang luhur keyakinannya; Keselamatan tercurah atas seluruh sahabatmu, seluruh keluargamu, dan para tabi'in; Salawat atas Nabi dan keselamatan bagi Rasul pemberi syafaat di Bathha, Muhammad yang fasih berbahasa Arab.",,28-37,31-40
sair_01_unit_17,1,a,Sair Pertama,17,jabu_refrein,وَرَضِيَ اللهُ عَنْ أَصْحَابِ رَسُوْلِ اللهِ أَجْمَعِيْنَ,ṣahābati rasulillāhi ajma'īn (Jābu),Semoga Allah ta'ala meridhai seluruh sahabat Rasulullah semuanya.,,28-37,31-40
sair_01_unit_18,1,a,Sair Pertama,18,prosa_hikayat_indonesia,بِسْمِ اللهِ الرَّحْمٰنِ الرَّحِيْمِ * الْحَمْدُ لِلّٰهِ الَّذِي شَرَّفَ الْأَنَامَ بِصَاحِبِ الْمَقَامِ الْأَعْلَى * وَكَمَّلَ السُّعُوْدَ بِأَكْرَمِ مَوْلُوْدٍ حَوَى شَرَفًا وَفَضْلًا * وَشَرَّفَ بِهِ الْآبَاءَ وَالْجُدُوْدَ وَمَلَأَ الْوُجُوْدَ بِجُوْدِهِ عَدْلًا...,Bismillāhir-rahmānir-rahīm. Alhamdu lil-lāhil-lażī syarrafal-anāma biṣāhibil-maqāmil-a’lā; wa kammalas-su’ūda biakrami maulūdin hawā syarafan wa faḍlan; wa syarrafa bihil-ābāa wal-judūda wamalaul-wujūda bijūdihī ’aḍā; hamalathu ummuhū āminatu...,"Kumulai dengan nama Allah jua memulai membaca kitab ini yang amat murah di dalam negeri dunia lagi yang amat mengasihani akan hambanya yang mukmin di dalam negeri akhirat. Segala puji bagi Allah yang telah memuliakan hambanya Muhammad, karena dialah Tuhan yang mempunyai maqam yang maha tinggi. Dan disempurnakan Allah kebahagiaan dengan kemuliaan sebab memuliakan kelahiran nabi Muhammad saw dengan semulia-mulia kelebihannya. Dan dipermulia oleh Allah ta'ala dengan dia ibu bapaknya dan nenek moyangnya, dan dipenuhi oleh Allah ta'ala seisi dunia, sebab murahnya dan adilnya.

Selama mengandung nabi Muhammad, ibunya Siti Aminah tiada merasa sakit dan berat karena mengandung nabiyullah saw itu. Dan telah dilahirkan oleh Siti Aminah nabiyullah itu sudah lagi bercila kedua matanya, dan dengan perhiasannya yang maha mulia, hebat lagi gilang-gemilang cahayanya...",,28-37,31-40
sair_01_unit_19,1,a,Sair Pertama,19,jabu_refrein,إِبْرَاهِيْمُ الْخَلِيْلُ اللهُ * مُوْسَى كَلَامُ اللهِ * عِيْسَى وَرُوْحُ اللهِ * مُحَمَّدٌ رَسُوْلُ اللهِ,Ibrahim al-khalīlul-lāh; mūsā kalāmul-lāh; 'īsā warūhul-lāh; muhammad rasūlul-lāh. (Jābu),"Ibrahim adalah kekasih Allah, Musa kalam Allah, Isa Ruh Allah dan Muhammad adalah Rasulullah.",,28-37,31-40
sair_02_unit_01,2,b,Sair Kedua,1,header_dan_pembuka,بِسْمِ اللهِ الرَّحْمٰنِ الرَّحِيْمِ * اللَّهُمَّ صَلِّ وَسَلِّمْ وَبَارِكْ عَلَيْهِ,Bismillāhir-rahmānir-rahīm. b. Sair Kedua,Dengan nama Allah Yang Maha Pengasih lagi Maha Penyayang. Pujian Kemunculan Cahaya Nabi di Bulan Kelahiran.,,37-41,40-44
sair_02_unit_02,2,b,Sair Kedua,2,puisi_sair,"بِشَهْرِ رَبِيْعٍ قَدْ بَدَا نُوْرُهُ الْأَعْلَى * فَيَا حَبَّذَا بَدْرًا بِذَاكَ الْحِمَى يُجْلَى
أَنَارَتْ بِهِ الْأَكْوَانُ شَرْقًا وَمَغْرِبًا * وَأَهْلُ السَّمَاءِ قَالُوا لَهُ مَرْحَبًا أَهْلًا","Bi syahri rabī'i qad badā nūruhul-a'lā * fayā habbażā badran, biżākal-himā yujlā * anārat bihil-akwānu syarqan wa magriban * wa ahlus-samāi qālū lahū marhaban ahlan.",Pada bulan Rabi' (yang dimaksud Rabi'ul Awal) telah muncul cahayanya yang maha tinggi; alangkah indahnya bulan purnama yang menerangi dan melindunginya dengan amat baik; alam di timur dan barat menjadi terang; dan para penghuni langit berseru menyambutnya: Selamat datang!,,37-41,40-44
sair_02_unit_03,2,b,Sair Kedua,3,jabu_refrein,لَا إِلٰهَ إِلَّا اللهُ * لَا إِلٰهَ إِلَّا اللهُ * لَا إِلٰهَ إِلَّا اللهُ مُحَمَّدٌ رَسُوْلُ اللهِ,Lā ilāha illal-lāh; lā ilāha illal-lāh; lā ilāha illal-lāh muhammadur-rasūlul-lāh. (Jābu),Tiada Tuhan selain Allah; Tiada Tuhan selain Allah; Tiada Tuhan selain Allah; Muhammad adalah Rasulullah.,,37-41,40-44
sair_02_unit_04,2,b,Sair Kedua,4,puisi_sair,"وَأُلْبِسَ ثَوْبَ النُّوْرِ عِزًّا وَرِفْعَةً * فَمَا مِثْلُهُ فِيْ خِلْعَةِ الْحُسْنِ يُسْتَجْلَى
وَلَمَّا رَآهُ الْبَدْرُ حَارَ لِحُسْنِهِ * وَشَاهَدَ مِنْهُ بَهْجَةً تَسْلِبُ الْعَقْلَا",Wa ulbisa ṡawāban-nūri; 'izzan wa rif'atan; famā miṡluhū fī khil'ati; al-husni yustajallā; wa lammā ra'āhul-badra; hāra lihusnihi; wa syāhada minhu buhjatan; taslibul-'aqlā.,Dia mengenakan pakaian cahaya kemuliaan dan keluhuran; tiada satupun yang menyamai keindahan parasnya; bulan purnama pun terpana takjub menyaksikan keelokannya yang memesona akal.,,37-41,40-44
sair_02_unit_05,2,b,Sair Kedua,5,jabu_refrein,أَلْفَ صَلُّوْا عَلَى خَيْرِ الْعِبَادِ (٢×) أَحْمَدَ مُحَمَّدٍ الْمُصْطَفَى شَفِيْعِنَا,Alfa ṣallū 'alā khairil-'ibād 2x; ahmad muhammad al-muṣṭafā syafī'unā. (Jābu),Beribu-ribu salawat tercurah bagi sebaik-baik hamba Allah (2x); Ahmad Muhammad Al-Musthafa pemberi syafaat kita.,,37-41,40-44
sair_02_unit_06,2,b,Sair Kedua,6,puisi_sair,"وَأُطْفِئَ نُوْرُ الشَّمْسِ مِنْ نُوْرِ وَجْهِهِ * فَلِلّٰهِ مَا أَبْهَى وَلِلّٰهِ مَا أَجْلَى
أَيَا مَوْلِدَ الْمُخْتَارِ جَدَّدْتَ شَوْقَنَا * إِلَى خَيْرِ مَبْعُوْثٍ جَلِيْلٍ حَوَى الْفَضْلَا",Wa uṭfi'a nūrusy-syamsi; min nūri wajhihi; falillāhi mā abhā; walillāhi mā ajlā; ayā maulidal-mukhtāri; jaddadta syauqanā; ilā khairi mab'ūṡi; jalīlin hawal-faḍlā.,"Dan cahaya matahari pun redup tertutupi pancaran cahaya wajahnya; Demi Allah, alangkah indahnya dan alangkah agungnya! Wahai hari kelahiran Sang Terpilih, engkau memperbarui kerinduan kami kepada sebaik-baik utusan yang agung pemilik segala keutamaan.",,37-41,40-44
sair_02_unit_07,2,b,Sair Kedua,7,jabu_refrein,صَلَّى اللهُ عَلَى الْمَدَنِيْ مُحَمَّدٍ شَفِيْعِنَا (٢×) مَا غَرَّتْ عَلَى الْفَضْلِ قُمْرِيٌّ عَلَى الْإِكْسَارِ,"ṣallal-lāhu 'alal-madani muhammad syafī'unā 2x mā garrat 'alal-faḍli, qumriy 'alal-iksar (Jābu)","Semoga Allah mencurahkan salawat kepada Nabi Muhammad yang mulia pemberi syafaat kita (2x), setinggi burung berkicau memuji keutamaan di atas dahan permata.",,37-41,40-44
sair_02_unit_08,2,b,Sair Kedua,8,puisi_sair,"وَسَعْدًا مُقِيْمًا بِافْتِخَارٍ لِمَوْلِدٍ * لَهُ خَيْرٌ عَنْ حُسْنِهِ أَبَدًا يُتْلَى
عَلَيْهِ صَلَاةُ اللهِ مَا هَبَّتِ الصَّبَا * وَمَا سَارَ حَادٍ بِالنِّيَاقِ إِلَى الْمُعْلَى",Wasa'adan muqīmā; biftihāri limaulidi; lahū khairū 'an husnihī; abadan yutlā; 'alaihi ṣalātul-lāhi; mā habbatiṣ-ṣayā; wa mā sāra hādin * bin-niyāqi ilal-ma'lā.,Berbahagialah segenap tempat dan masa dengan kelahiran insan mulia ini; kebaikannya senantiasa diperdengarkan sepanjang masa; Semoga salawat Allah tercurah kepadanya selama angin sepoi berhembus dan selama penuntun unta berjalan menuju tempat yang tinggi.,,37-41,40-44
sair_02_unit_09,2,b,Sair Kedua,9,jabu_refrein,اللَّهُمَّ صَلِّ وَسَلِّمْ وَبَارِكْ عَلَيْهِ * {يَا أَيُّهَا النَّبِيُّ إِنَّا أَرْسَلْنَاكَ شَاهِدًا وَمُبَشِّرًا وَنَذِيْرًا * وَدَاعِيًا إِلَى اللهِ بِإِذْنِهِ وَسِرَاجًا مُنِيْرًا},"Allāhumma ṣalli wa sallim wa bārik 'alaih. Qauluhū ta'āla: ""yā ayyuhan-nabiyyu innā arsalnāka syāhidan wa mubasysyiran wa nażīrā * wa dā'iyan ilal-lāhi bi iżnihī wa sirājan munīrā"" (al-Ahzab: 45-46)","Ya Allah curahkanlah salawat, salam dan keberkahan kepadanya. Firman Allah Ta'ala: ""Wahai Nabi, sesungguhnya Kami mengutusmu untuk menjadi saksi, pembawa kabar gembira, pemberi peringatan, penyeru kepada agama Allah dengan izin-Nya, dan pelita yang menerangi.""",,37-41,40-44
sair_02_unit_10,2,b,Sair Kedua,10,prosa_hikayat_indonesia,شَاهِدًا أَيْ لِلرُّسُلِ بِالتَّبْلِيْغِ وَمُبَشِّرًا لِمَنْ آمَنَ بِالْجَنَّةِ وَنَذِيْرًا لِمَنْ كَذَّبَ بِالنَّارِ وَدَاعِيًا إِلَى اللهِ أَيْ إِلَى تَوْحِيْدِهِ وَطَاعَتِهِ بِإِذْنِهِ...,Syāhidan lir-rusuli bit-tablīgi wa mubasysyiran liman āmana bil-jannati wa nażīran liman każżaba bin-nāri wa dā'iyan ilal-lāhi ay ilā tauhīdihī wa ṭā'atihī...,"Makna firman Allah: Menjadi saksi bagi para rasul atas tersampaikannya risalah, pembawa kabar gembira surga bagi yang beriman, pemberi peringatan azab bagi yang mendustakan, penyeru kepada tauhid dan ketaatan kepada Allah, serta pelita benderang yang menerangi kegelapan umat.",,37-41,40-44
sair_03_unit_01,3,c,Sair Ketiga,1,header_dan_pembuka,صَلَّى عَلَيْهِ رَبُّنَا وَنَحْنُ صَلُّوْا بِنَا مُحَمَّدٌ نَبِيُّنَا فِي الْمَحْشَرِ شَفِيْعُنَا,"ṣallā 'alaihi rabbunā wa nahnu ṣallū binā, muhammad nabiyyunā fil-makhsyari syafī'unā.","Semoga Tuhan kita mencurahkan salawat kepadanya, dan marilah kita bersalawat, Muhammad adalah Nabi kita dan pemberi syafaat kita di padang Mahsyar.",,41-47,44-50
sair_03_unit_02,3,c,Sair Ketiga,2,puisi_sair,"تَنَقَّلْتَ فِيْ أَصْلَابِ أَرْبَابِ سُوْدَدٍ * كَذَا الشَّمْسُ فِيْ أَبْرَاجِهَا تَتَنَقَّلُ
وَسِرْتَ سَرِيًّا فِيْ بُطُوْنٍ تَشَرَّفَتْ * بِحَمْلٍ عَلَيْهِ فِي الْأُمُوْرِ الْمُعَوَّلُ",Tanaqqalta fī aṣlābi arbābi sūdad; kazasy-syamsu fī abrājihā tatanaqqalu. Wa sirta sariyyan fī buṭūni tasyarrafat; bihamli 'alaihi fil-umūril-mu'awwal.,Engkau dipindahkan di dalam sulbi-sulbi orang-orang mulia; laksana matahari berpindah di dalam gugusan garis edarnya; engkau berjalan di dalam rahim-rahim yang terpilih suci yang membawa amanah yang dapat dipercaya.,,41-47,44-50
sair_03_unit_03,3,c,Sair Ketiga,3,jabu_refrein,اللهُ اللهُ اللهُ * اللهُ رَبُّنَا حَيٌّ مَوْلَى * اللهُ اللهُ اللهُ * اللهُ حَسْبُنَا حَيٌّ مَنْهَى,Allāh Allāh Allāh * Allāh rabbunā hay maulā Allāh Allāh Allāh * Allāh hasbunā hay manhay. (Jābu),"Allah Allah Allah; Allah Tuhan kami, Yang Maha Hidup lagi Pelindung; Allah Allah Allah; Allah Yang Maha Mencukupi bagi kami.",,41-47,44-50
sair_03_unit_04,3,c,Sair Ketiga,4,puisi_sair,"هَنِيْئًا لِقَوْمٍ أَنْتَ فِيْهِمْ وَمِنْهُمْ * بَدَا مِنْكَ بَدْرٌ بِالْجَمَالِ مُسَرْبَلُ
وَلِلّٰهِ وَقْتٌ جِئْتَ فِيْهِ وَطَالِعٌ * سَعِيْدٌ عَلَى أَهْلِ الْوُجُوْدِ وَمُقْبِلُ",Hanī'an li qaumi anta fīhim wa minhum * badā minka badrun bil-jamāl musarbal; Wa lillāhi waqtu ji'ta fīhi wa ṭāli'un * sa'īdun 'alā ahlil-wujūdi wa muqbil.,"Sungguh beruntung kaum di mana engkau hadir di tengah mereka; terpancar darimu rembulan elok berselimutkan keindahan; waktu kedatanganmu adalah anugerah Allah, dan terbitlah kebahagiaan bagi seluruh alam yang menyambutmu.",,41-47,44-50
sair_03_unit_05,3,c,Sair Ketiga,5,header_dan_pembuka,اللَّهُمَّ صَلِّ وَسَلِّمْ وَبَارِكْ عَلَيْهِ,Allāhumma ṣalli wa sallim wa bārik 'alaih,"Ya Allah, limpahkanlah salawat, keselamatan, dan keberkahan kepadanya.",,41-47,44-50
sair_03_unit_06,3,c,Sair Ketiga,6,prosa_hikayat_indonesia,وَعَنْ يَزِيْدَ بْنِ عَبْدِ اللهِ بْنِ وَهْبٍ عَنْ عَمَّتِهِ قَالَتْ كُنَّا نَسْمَعُ أَنَّ آمِنَةَ لَمَّا حَمَلَتْ بِرَسُوْلِ اللهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ كَانَتْ تَقُوْلُ: مَا شَعَرْتُ أَنِّيْ حَمَلْتُ وَلَا وَجَدْتُ لَهُ ثِقَلًا وَلَا أَلَمًا...,Wa 'an yazīd ibni 'abdil-lāh ibni wahhāb 'an 'ammatihī qālat: kunnā nasma'u anna āminata lammā hamalat bi rasūlil-lāhi ṣallal-lāhu 'alaihi wa sallam kānat taqūlu: mā sya'artu annī hamaltu walā wajadtu lahū ṡiqalan walā alaman...,"Diriwayatkan dari Siti Aminah ibunda Nabi SAW: Selama mengandung Rasulullah SAW tiada merasa berat dan tiada merasa sakit sebagaimana perempuan pada umumnya. Beliau didatangi pembawa kabar gembira yang memberitahukan bahwa yang dikandungnya adalah penghulu umat ini, Nabi pembawa petunjuk dan rahmat, yang kelak dilahirkan pada hari Senin.",,41-47,44-50
sair_04_unit_01,4,d,Sair Keempat,1,jabu_refrein,اللهُ وَلِيٌّ (٢×) نِعْمَ الْوَلِيُّ * اللهُ مَوْلَى يَا رَبَّنَا * صَلُّوْا عَلَى هٰذَا النَّبِيِّ وَمُحَمَّدٍ سَيِّدِي وَاغْفِرْ لَنَا,Allāhu walī 2x ni'mal-wali Allāhu maulā yā rabbanā; ṣallū 'alā hāżan-nabiyyi wa muhammadi al-lāhu sayyidi wa gaffir lanā (Jābu),"Allah adalah pelindung kami (2x), sebaik-baik pelindung; Allah pengayom kami, ya Tuhan kami; Bersalawatlah untuk Nabi Muhammad ini, ya Allah muliakanlah dan ampunilah dosa kami.",,47-50,50-53
